"plot_id","Strata","datum","utm_zone","utm_easting","utm_northing"
107,"Mid-High Stocking","NAD83","12N",308467.512692457,5202265.0990595
108,"Mid Stocking","NAD83","12N",306221.564371988,5201773.73069405
109,"High Stocking","NAD83","12N",307121.230600974,5201786.73957389
110,"High Stocking","NAD83","12N",308011.511599264,5201802.80745704
111,"High Stocking","NAD83","12N",308923.65371879,5201818.27981976
112,"High Stocking","NAD83","12N",305777.340834217,5201311.88375516
113,"Low-Mid Stocking","NAD83","12N",306679.409601484,5201328.91804494
114,"Mid-High Stocking","NAD83","12N",307580.085325133,5201345.81222944
115,"High Stocking","NAD83","12N",308480.27042378,5201363.93613312
116,"High Stocking","NAD83","12N",309380.917906058,5201378.30535476
117,"Mid-High Stocking","NAD83","12N",306236.280652163,5200872.65036976
118,"Mid Stocking","NAD83","12N",307138.135908473,5200889.03834667
119,"Mid-High Stocking","NAD83","12N",308038.592167392,5200906.39399885
121,"Low-Mid Stocking","NAD83","12N",309838.434005112,5200934.01930835
122,"Mid Stocking","NAD83","12N",310738.111019579,5200961.06903728
123,"High Stocking","NAD83","12N",305795.414523807,5200408.39885291
124,"High Stocking","NAD83","12N",306703.245244711,5200427.52684273
125,"Mid-High Stocking","NAD83","12N",307597.25817527,5200445.52948856
127,"High Stocking","NAD83","12N",309396.682020912,5200481.10502468
128,"Low-Mid Stocking","NAD83","12N",310294.831938192,5200500.34297752
129,"Low-Mid Stocking","NAD83","12N",311201.505891263,5200514.76485125
130,"Mid-High Stocking","NAD83","12N",306252.482496258,5199972.78373579
131,"High Stocking","NAD83","12N",307156.857798652,5199990.3933266
133,"Mid-High Stocking","NAD83","12N",308954.11873084,5200023.11950809
134,"Low-Mid Stocking","NAD83","12N",309852.275057848,5200038.92245898
135,"Mid-High Stocking","NAD83","12N",310752.630627487,5200049.06367266
136,"Mid-High Stocking","NAD83","12N",311659.947979865,5200069.22094814
137,"Mid Stocking","NAD83","12N",312558.856404545,5200088.62229161
138,"Mid-High Stocking","NAD83","12N",305813.751051099,5199513.38991665
139,"Low-Mid Stocking","NAD83","12N",306716.272316381,5199528.38973376
140,"Mid-High Stocking","NAD83","12N",307609.392323035,5199544.05057989
141,"Mid-High Stocking","NAD83","12N",308518.189703209,5199560.80660219
143,"High Stocking","NAD83","12N",310309.964602034,5199594.03313592
144,"High Stocking","NAD83","12N",311213.674909894,5199617.03160242
145,"Mid-High Stocking","NAD83","12N",312116.2827463,5199634.50832491
146,"Mid Stocking","NAD83","12N",313017.271215857,5199648.20406518
147,"Mid-High Stocking","NAD83","12N",307165.991252992,5199086.86593718
149,"High Stocking","NAD83","12N",308973.822947651,5199109.12649857
150,"High Stocking","NAD83","12N",309876.422551331,5199137.68510025
151,"High Stocking","NAD83","12N",310775.799190101,5199158.07277392
152,"Mid Stocking","NAD83","12N",311672.756901982,5199172.04080291
153,"Low-Mid Stocking","NAD83","12N",312576.096693006,5199191.28456945
154,"Mid-High Stocking","NAD83","12N",307633.02272729,5198645.26292475
155,"Mid-High Stocking","NAD83","12N",308533.432593864,5198665.01932427
156,"Mid-High Stocking","NAD83","12N",309435.278715516,5198682.19354766
157,"Mid-High Stocking","NAD83","12N",310330.683199972,5198699.05920966
158,"Mid Stocking","NAD83","12N",311233.781705685,5198706.9710994
159,"Mid Stocking","NAD83","12N",313041.726843697,5198753.6465568
160,"Mid Stocking","NAD83","12N",307193.961847868,5198187.79643765
161,"Mid Stocking","NAD83","12N",308088.168273272,5198203.63730158
162,"Low-Mid Stocking","NAD83","12N",310796.103218934,5198250.86731349
163,"Mid Stocking","NAD83","12N",311693.330803167,5198271.21605462
164,"Mid-High Stocking","NAD83","12N",312594.654782455,5198290.5053551
165,"Mid-High Stocking","NAD83","12N",323395.571456695,5198494.28328809
166,"Mid Stocking","NAD83","12N",324296.508512288,5198509.84965902
167,"Mid Stocking","NAD83","12N",307201.490083772,5197733.0868347
168,"Mid Stocking","NAD83","12N",308104.274702243,5197755.49813398
169,"Mid-High Stocking","NAD83","12N",310354.501264903,5197806.68634967
170,"Mid Stocking","NAD83","12N",311251.308999231,5197815.65352691
171,"Mid Stocking","NAD83","12N",312155.859249074,5197827.3485361
172,"Mid Stocking","NAD83","12N",313051.851544413,5197845.71612959
173,"Low-Mid Stocking","NAD83","12N",323858.076171124,5198053.44962926
174,"Mid Stocking","NAD83","12N",309011.63031917,5197319.6326248
175,"Low-Mid Stocking","NAD83","12N",309908.55695179,5197336.12657754
176,"Low-Mid Stocking","NAD83","12N",312613.30822814,5197382.97880256
178,"High Stocking","NAD83","12N",323419.619384347,5197593.18347765
180,"Mid-High Stocking","NAD83","12N",308570.690209558,5196861.66462062
181,"Low-Mid Stocking","NAD83","12N",309468.365044281,5196878.7906974
